statistikkvariabel	region	husholdningstype	eierstatus	år	11082: Husholdninger,
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2019	1.1
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2020	1.1
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2021	1.0
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2022	1.0
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Andels- / aksjeeier	2023	1.1
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Leier	2015	13.8
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Leier	2016	14.0
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Leier	2017	13.9
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Leier	2018	13.9
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Leier	2019	13.6
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Leier	2020	13.7
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Leier	2021	14.2
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Leier	2022	14.0
Husholdninger (prosent)	1149 Karmøy	Husholdninger i alt	Leier	2023	14.2
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Selveier	2015	72.1
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Selveier	2016	71.4
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Selveier	2017	72.0
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Selveier	2018	72.8
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Selveier	2019	73.1
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Selveier	2020	73.1
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Selveier	2021	72.1
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Selveier	2022	72.1
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Selveier	2023	72.1
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2015	1.7
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2016	1.7
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2017	1.7
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2018	1.9
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2019	1.8
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2020	1.8
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2021	1.6
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2022	1.8
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Andels- / aksjeeier	2023	1.6
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Leier	2015	26.2
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Leier	2016	26.9
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Leier	2017	26.3
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Leier	2018	25.3
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Leier	2019	25.1
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Leier	2020	25.1
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Leier	2021	26.3
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Leier	2022	26.1
Husholdninger (prosent)	1149 Karmøy	Aleneboende	Leier	2023	26.3
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2015	93.0
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2016	93.3
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2017	93.3
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2018	93.1
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2019	93.3
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2020	93.2
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2021	93.2
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2022	93.6
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Selveier	2023	93.6
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2015	1.1
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2016	1.1
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2017	0.9
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2018	1.0
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2019	0.9
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2020	0.9
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2021	1.0
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2022	0.8
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Andels- / aksjeeier	2023	1.0
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Leier	2015	6.0
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Leier	2016	5.6
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Leier	2017	5.8
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Leier	2018	5.9
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Leier	2019	5.8
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Leier	2020	5.9
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Leier	2021	5.8
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Leier	2022	5.5
Husholdninger (prosent)	1149 Karmøy	Par uten hjemmeboende barn	Leier	2023	5.5
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2015	91.0
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2016	90.5
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2017	92.0
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2018	91.3
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2019	90.8
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2020	91.4
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2021	91.5
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2022	92.5
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Selveier	2023	92.2
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2015	0.6
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2016	0.4
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2017	0.3
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2018	0.3
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2019	0.5
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2020	0.4
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2021	0.6
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2022	0.4
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2023	0.2
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2015	8.5
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2016	9.1
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2017	7.7
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2018	8.3
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2019	8.7
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2020	8.2
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2021	7.9
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2022	7.1
Husholdninger (prosent)	1149 Karmøy	Par med små barn (yngste barn 0-5 år)	Leier	2023	7.6
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2015	95.5
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2016	95.9
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2017	95.5
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2018	94.6
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2019	95.2
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2020	95.0
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2021	95.2
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2022	95.2
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Selveier	2023	94.9
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2015	0.4
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2016	0.3
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2017	0.3
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2018	0.3
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2019	0.3
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2020	0.3
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2021	0.3
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2022	0.3
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2023	0.3
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2015	4.1
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2016	3.8
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2017	4.3
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2018	5.1
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2019	4.5
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2020	4.7
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2021	4.5
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2022	4.5
Husholdninger (prosent)	1149 Karmøy	Par med store barn (yngste barn 6-17 år)	Leier	2023	4.8
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2015	54.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2016	54.3
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2017	55.5
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2018	54.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2019	55.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2020	57.7
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2021	57.3
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2022	58.4
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Selveier	2023	58.4
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2015	1.7
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2016	1.1
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2017	1.1
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2018	1.2
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2019	0.0
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2020	0.0
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2021	0.0
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2022	1.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Andels- / aksjeeier	2023	3.0
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2015	43.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2016	44.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2017	43.3
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2018	44.2
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2019	44.4
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2020	42.3
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2021	42.7
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2022	40.0
Husholdninger (prosent)	1149 Karmøy	Mor/far med små barn (yngste barn 0-5 år)	Leier	2023	38.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2015	79.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2016	79.7
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2017	77.5
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2018	77.8
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2019	78.7
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2020	78.4
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2021	76.7
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2022	76.5
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Selveier	2023	76.9
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2015	1.5
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2016	1.0
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2017	1.8
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2018	1.4
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2019	2.0
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2020	1.8
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2021	1.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2022	1.9
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Andels- / aksjeeier	2023	1.9
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2015	18.9
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2016	19.3
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2017	20.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2018	20.8
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2019	19.4
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2020	19.9
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2021	21.7
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2022	21.6
Husholdninger (prosent)	1149 Karmøy	Mor/far med store barn (yngste barn 6-17 år)	Leier	2023	21.2
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2015	94.5
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2016	94.2
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2017	94.2
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2018	94.7
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2019	94.8
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2020	94.2
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2021	93.6
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2022	94.1
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Selveier	2023	94.0
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2015	0.4
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2016	0.5
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2017	0.8
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2018	0.5
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2019	0.7
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2020	0.7
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2021	0.5
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2022	0.4
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Andels- / aksjeeier	2023	0.4
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2015	5.1
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2016	5.3
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2017	5.0
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2018	4.9
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2019	4.5
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2020	5.2
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2021	5.9
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2022	5.5
Husholdninger (prosent)	1149 Karmøy	Enfamiliehusholdninger med voksne barn (yngste barn 18 år og over)	Leier	2023	5.6
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2015	94.6
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2016	92.9
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2017	93.0
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2018	90.5
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2019	92.0
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2020	95.3
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2021	94.7
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2022	90.5
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Selveier	2023	90.8
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2015	1.2
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2016	0.0
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2017	0.0
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2018	1.3
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2019	1.3
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2020	0.0
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2021	1.5
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2022	0.0
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Andels- / aksjeeier	2023	0.0
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2015	4.2
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2016	7.1
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2017	7.0
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2018	8.2
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2019	6.6
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2020	4.7
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2021	3.9
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2022	9.5
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger med barn	Leier	2023	9.2
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2015	74.2
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2016	75.7
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2017	71.8
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2018	70.6
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2019	71.9
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2020	72.8
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2021	74.7
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2022	72.6
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Selveier	2023	72.1
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2015	1.3
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2016	1.4
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2017	1.7
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2018	1.6
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2019	1.3
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2020	2.1
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2021	1.5
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2022	1.3
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Andels- / aksjeeier	2023	1.9
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2015	24.5
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2016	22.9
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2017	26.5
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2018	27.7
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2019	26.8
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2020	25.1
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2021	23.7
Husholdninger (prosent)	1149 Karmøy	Flerfamiliehusholdninger uten barn 0-17 år	Leier	2022	26.0
