region	kjonn	alder	ar	statistikkvariabel	14288: Framskrevet folkemengde 1. januar,
1149 Karmøy	Kvinner	20-64 år	2024	Hovedalternativet (MMMM)	11846
1149 Karmøy	Kvinner	20-64 år	2024	Lav nasjonal vekst (LLML)	11846
1149 Karmøy	Kvinner	20-64 år	2024	Høy nasjonal vekst (HHMH)	11846
1149 Karmøy	Kvinner	20-64 år	2025	Hovedalternativet (MMMM)	11852
1149 Karmøy	Kvinner	20-64 år	2025	Lav nasjonal vekst (LLML)	11813
1149 Karmøy	Kvinner	20-64 år	2025	Høy nasjonal vekst (HHMH)	11887
1149 Karmøy	Kvinner	20-64 år	2026	Hovedalternativet (MMMM)	11873
1149 Karmøy	Kvinner	20-64 år	2026	Lav nasjonal vekst (LLML)	11797
1149 Karmøy	Kvinner	20-64 år	2026	Høy nasjonal vekst (HHMH)	11951
1149 Karmøy	Kvinner	20-64 år	2027	Hovedalternativet (MMMM)	11884
1149 Karmøy	Kvinner	20-64 år	2027	Lav nasjonal vekst (LLML)	11794
1149 Karmøy	Kvinner	20-64 år	2027	Høy nasjonal vekst (HHMH)	11990
1149 Karmøy	Kvinner	20-64 år	2028	Hovedalternativet (MMMM)	11894
1149 Karmøy	Kvinner	20-64 år	2028	Lav nasjonal vekst (LLML)	11788
1149 Karmøy	Kvinner	20-64 år	2028	Høy nasjonal vekst (HHMH)	12016
1149 Karmøy	Kvinner	20-64 år	2029	Hovedalternativet (MMMM)	11901
1149 Karmøy	Kvinner	20-64 år	2029	Lav nasjonal vekst (LLML)	11780
1149 Karmøy	Kvinner	20-64 år	2029	Høy nasjonal vekst (HHMH)	12036
1149 Karmøy	Kvinner	20-64 år	2030	Hovedalternativet (MMMM)	11899
1149 Karmøy	Kvinner	20-64 år	2030	Lav nasjonal vekst (LLML)	11761
1149 Karmøy	Kvinner	20-64 år	2030	Høy nasjonal vekst (HHMH)	12049
1149 Karmøy	Kvinner	20-64 år	2031	Hovedalternativet (MMMM)	11883
1149 Karmøy	Kvinner	20-64 år	2031	Lav nasjonal vekst (LLML)	11726
1149 Karmøy	Kvinner	20-64 år	2031	Høy nasjonal vekst (HHMH)	12049
1149 Karmøy	Kvinner	20-64 år	2032	Hovedalternativet (MMMM)	11853
1149 Karmøy	Kvinner	20-64 år	2032	Lav nasjonal vekst (LLML)	11681
1149 Karmøy	Kvinner	20-64 år	2032	Høy nasjonal vekst (HHMH)	12039
1149 Karmøy	Kvinner	20-64 år	2033	Hovedalternativet (MMMM)	11806
1149 Karmøy	Kvinner	20-64 år	2033	Lav nasjonal vekst (LLML)	11615
1149 Karmøy	Kvinner	20-64 år	2033	Høy nasjonal vekst (HHMH)	12015
1149 Karmøy	Kvinner	20-64 år	2034	Hovedalternativet (MMMM)	11750
1149 Karmøy	Kvinner	20-64 år	2034	Lav nasjonal vekst (LLML)	11538
1149 Karmøy	Kvinner	20-64 år	2034	Høy nasjonal vekst (HHMH)	11972
1149 Karmøy	Kvinner	20-64 år	2035	Hovedalternativet (MMMM)	11683
1149 Karmøy	Kvinner	20-64 år	2035	Lav nasjonal vekst (LLML)	11461
1149 Karmøy	Kvinner	20-64 år	2035	Høy nasjonal vekst (HHMH)	11934
1149 Karmøy	Kvinner	20-64 år	2036	Hovedalternativet (MMMM)	11616
1149 Karmøy	Kvinner	20-64 år	2036	Lav nasjonal vekst (LLML)	11370
1149 Karmøy	Kvinner	20-64 år	2036	Høy nasjonal vekst (HHMH)	11884
1149 Karmøy	Kvinner	20-64 år	2037	Hovedalternativet (MMMM)	11540
1149 Karmøy	Kvinner	20-64 år	2037	Lav nasjonal vekst (LLML)	11277
1149 Karmøy	Kvinner	20-64 år	2037	Høy nasjonal vekst (HHMH)	11832
1149 Karmøy	Kvinner	20-64 år	2038	Hovedalternativet (MMMM)	11474
1149 Karmøy	Kvinner	20-64 år	2038	Lav nasjonal vekst (LLML)	11191
1149 Karmøy	Kvinner	20-64 år	2038	Høy nasjonal vekst (HHMH)	11791
1149 Karmøy	Kvinner	20-64 år	2039	Hovedalternativet (MMMM)	11396
1149 Karmøy	Kvinner	20-64 år	2039	Lav nasjonal vekst (LLML)	11095
1149 Karmøy	Kvinner	20-64 år	2039	Høy nasjonal vekst (HHMH)	11739
1149 Karmøy	Kvinner	20-64 år	2040	Hovedalternativet (MMMM)	11354
1149 Karmøy	Kvinner	20-64 år	2040	Lav nasjonal vekst (LLML)	11031
1149 Karmøy	Kvinner	20-64 år	2040	Høy nasjonal vekst (HHMH)	11723
1149 Karmøy	Kvinner	20-64 år	2041	Hovedalternativet (MMMM)	11299
1149 Karmøy	Kvinner	20-64 år	2041	Lav nasjonal vekst (LLML)	10953
1149 Karmøy	Kvinner	20-64 år	2041	Høy nasjonal vekst (HHMH)	11693
1149 Karmøy	Kvinner	20-64 år	2042	Hovedalternativet (MMMM)	11267
1149 Karmøy	Kvinner	20-64 år	2042	Lav nasjonal vekst (LLML)	10898
1149 Karmøy	Kvinner	20-64 år	2042	Høy nasjonal vekst (HHMH)	11687
1149 Karmøy	Kvinner	20-64 år	2043	Hovedalternativet (MMMM)	11218
1149 Karmøy	Kvinner	20-64 år	2043	Lav nasjonal vekst (LLML)	10830
1149 Karmøy	Kvinner	20-64 år	2043	Høy nasjonal vekst (HHMH)	11664
1149 Karmøy	Kvinner	20-64 år	2044	Hovedalternativet (MMMM)	11151
1149 Karmøy	Kvinner	20-64 år	2044	Lav nasjonal vekst (LLML)	10743
1149 Karmøy	Kvinner	20-64 år	2044	Høy nasjonal vekst (HHMH)	11633
1149 Karmøy	Kvinner	20-64 år	2045	Hovedalternativet (MMMM)	11070
1149 Karmøy	Kvinner	20-64 år	2045	Lav nasjonal vekst (LLML)	10630
1149 Karmøy	Kvinner	20-64 år	2045	Høy nasjonal vekst (HHMH)	11584
1149 Karmøy	Kvinner	20-64 år	2046	Hovedalternativet (MMMM)	10990
1149 Karmøy	Kvinner	20-64 år	2046	Lav nasjonal vekst (LLML)	10514
1149 Karmøy	Kvinner	20-64 år	2046	Høy nasjonal vekst (HHMH)	11544
1149 Karmøy	Kvinner	20-64 år	2047	Hovedalternativet (MMMM)	10923
1149 Karmøy	Kvinner	20-64 år	2047	Lav nasjonal vekst (LLML)	10394
1149 Karmøy	Kvinner	20-64 år	2047	Høy nasjonal vekst (HHMH)	11524
1149 Karmøy	Kvinner	20-64 år	2048	Hovedalternativet (MMMM)	10858
1149 Karmøy	Kvinner	20-64 år	2048	Lav nasjonal vekst (LLML)	10277
1149 Karmøy	Kvinner	20-64 år	2048	Høy nasjonal vekst (HHMH)	11514
1149 Karmøy	Kvinner	20-64 år	2049	Hovedalternativet (MMMM)	10803
1149 Karmøy	Kvinner	20-64 år	2049	Lav nasjonal vekst (LLML)	10170
1149 Karmøy	Kvinner	20-64 år	2049	Høy nasjonal vekst (HHMH)	11515
1149 Karmøy	Kvinner	20-64 år	2050	Hovedalternativet (MMMM)	10745
1149 Karmøy	Kvinner	20-64 år	2050	Lav nasjonal vekst (LLML)	10052
1149 Karmøy	Kvinner	20-64 år	2050	Høy nasjonal vekst (HHMH)	11518
1149 Karmøy	Kvinner	65 år eller eldre	2024	Hovedalternativet (MMMM)	4201
1149 Karmøy	Kvinner	65 år eller eldre	2024	Lav nasjonal vekst (LLML)	4201
1149 Karmøy	Kvinner	65 år eller eldre	2024	Høy nasjonal vekst (HHMH)	4201
1149 Karmøy	Kvinner	65 år eller eldre	2025	Hovedalternativet (MMMM)	4283
1149 Karmøy	Kvinner	65 år eller eldre	2025	Lav nasjonal vekst (LLML)	4277
1149 Karmøy	Kvinner	65 år eller eldre	2025	Høy nasjonal vekst (HHMH)	4289
1149 Karmøy	Kvinner	65 år eller eldre	2026	Hovedalternativet (MMMM)	4366
1149 Karmøy	Kvinner	65 år eller eldre	2026	Lav nasjonal vekst (LLML)	4353
1149 Karmøy	Kvinner	65 år eller eldre	2026	Høy nasjonal vekst (HHMH)	4378
1149 Karmøy	Kvinner	65 år eller eldre	2027	Hovedalternativet (MMMM)	4434
1149 Karmøy	Kvinner	65 år eller eldre	2027	Lav nasjonal vekst (LLML)	4412
1149 Karmøy	Kvinner	65 år eller eldre	2027	Høy nasjonal vekst (HHMH)	4458
1149 Karmøy	Kvinner	65 år eller eldre	2028	Hovedalternativet (MMMM)	4491
1149 Karmøy	Kvinner	65 år eller eldre	2028	Lav nasjonal vekst (LLML)	4455
1149 Karmøy	Kvinner	65 år eller eldre	2028	Høy nasjonal vekst (HHMH)	4522
1149 Karmøy	Kvinner	65 år eller eldre	2029	Hovedalternativet (MMMM)	4557
1149 Karmøy	Kvinner	65 år eller eldre	2029	Lav nasjonal vekst (LLML)	4513
1149 Karmøy	Kvinner	65 år eller eldre	2029	Høy nasjonal vekst (HHMH)	4604
1149 Karmøy	Kvinner	65 år eller eldre	2030	Hovedalternativet (MMMM)	4636
1149 Karmøy	Kvinner	65 år eller eldre	2030	Lav nasjonal vekst (LLML)	4581
1149 Karmøy	Kvinner	65 år eller eldre	2030	Høy nasjonal vekst (HHMH)	4694
1149 Karmøy	Kvinner	65 år eller eldre	2031	Hovedalternativet (MMMM)	4711
1149 Karmøy	Kvinner	65 år eller eldre	2031	Lav nasjonal vekst (LLML)	4642
1149 Karmøy	Kvinner	65 år eller eldre	2031	Høy nasjonal vekst (HHMH)	4784
1149 Karmøy	Kvinner	65 år eller eldre	2032	Hovedalternativet (MMMM)	4816
1149 Karmøy	Kvinner	65 år eller eldre	2032	Lav nasjonal vekst (LLML)	4733
1149 Karmøy	Kvinner	65 år eller eldre	2032	Høy nasjonal vekst (HHMH)	4898
1149 Karmøy	Kvinner	65 år eller eldre	2033	Hovedalternativet (MMMM)	4910
1149 Karmøy	Kvinner	65 år eller eldre	2033	Lav nasjonal vekst (LLML)	4812
1149 Karmøy	Kvinner	65 år eller eldre	2033	Høy nasjonal vekst (HHMH)	5002
1149 Karmøy	Kvinner	65 år eller eldre	2034	Hovedalternativet (MMMM)	5015
1149 Karmøy	Kvinner	65 år eller eldre	2034	Lav nasjonal vekst (LLML)	4902
1149 Karmøy	Kvinner	65 år eller eldre	2034	Høy nasjonal vekst (HHMH)	5127
1149 Karmøy	Kvinner	65 år eller eldre	2035	Hovedalternativet (MMMM)	5116
1149 Karmøy	Kvinner	65 år eller eldre	2035	Lav nasjonal vekst (LLML)	4983
1149 Karmøy	Kvinner	65 år eller eldre	2035	Høy nasjonal vekst (HHMH)	5244
1149 Karmøy	Kvinner	65 år eller eldre	2036	Hovedalternativet (MMMM)	5220
1149 Karmøy	Kvinner	65 år eller eldre	2036	Lav nasjonal vekst (LLML)	5071
1149 Karmøy	Kvinner	65 år eller eldre	2036	Høy nasjonal vekst (HHMH)	5363
1149 Karmøy	Kvinner	65 år eller eldre	2037	Hovedalternativet (MMMM)	5324
1149 Karmøy	Kvinner	65 år eller eldre	2037	Lav nasjonal vekst (LLML)	5157
1149 Karmøy	Kvinner	65 år eller eldre	2037	Høy nasjonal vekst (HHMH)	5482
1149 Karmøy	Kvinner	65 år eller eldre	2038	Hovedalternativet (MMMM)	5402
1149 Karmøy	Kvinner	65 år eller eldre	2038	Lav nasjonal vekst (LLML)	5218
1149 Karmøy	Kvinner	65 år eller eldre	2038	Høy nasjonal vekst (HHMH)	5576
1149 Karmøy	Kvinner	65 år eller eldre	2039	Hovedalternativet (MMMM)	5479
1149 Karmøy	Kvinner	65 år eller eldre	2039	Lav nasjonal vekst (LLML)	5277
1149 Karmøy	Kvinner	65 år eller eldre	2039	Høy nasjonal vekst (HHMH)	5675
1149 Karmøy	Kvinner	65 år eller eldre	2040	Hovedalternativet (MMMM)	5537
1149 Karmøy	Kvinner	65 år eller eldre	2040	Lav nasjonal vekst (LLML)	5319
1149 Karmøy	Kvinner	65 år eller eldre	2040	Høy nasjonal vekst (HHMH)	5751
1149 Karmøy	Kvinner	65 år eller eldre	2041	Hovedalternativet (MMMM)	5590
1149 Karmøy	Kvinner	65 år eller eldre	2041	Lav nasjonal vekst (LLML)	5354
1149 Karmøy	Kvinner	65 år eller eldre	2041	Høy nasjonal vekst (HHMH)	5826
1149 Karmøy	Kvinner	65 år eller eldre	2042	Hovedalternativet (MMMM)	5644
1149 Karmøy	Kvinner	65 år eller eldre	2042	Lav nasjonal vekst (LLML)	5388
1149 Karmøy	Kvinner	65 år eller eldre	2042	Høy nasjonal vekst (HHMH)	5899
1149 Karmøy	Kvinner	65 år eller eldre	2043	Hovedalternativet (MMMM)	5690
1149 Karmøy	Kvinner	65 år eller eldre	2043	Lav nasjonal vekst (LLML)	5416
1149 Karmøy	Kvinner	65 år eller eldre	2043	Høy nasjonal vekst (HHMH)	5968
1149 Karmøy	Kvinner	65 år eller eldre	2044	Hovedalternativet (MMMM)	5761
1149 Karmøy	Kvinner	65 år eller eldre	2044	Lav nasjonal vekst (LLML)	5460
1149 Karmøy	Kvinner	65 år eller eldre	2044	Høy nasjonal vekst (HHMH)	6049
1149 Karmøy	Kvinner	65 år eller eldre	2045	Hovedalternativet (MMMM)	5828
1149 Karmøy	Kvinner	65 år eller eldre	2045	Lav nasjonal vekst (LLML)	5511
1149 Karmøy	Kvinner	65 år eller eldre	2045	Høy nasjonal vekst (HHMH)	6141
1149 Karmøy	Kvinner	65 år eller eldre	2046	Hovedalternativet (MMMM)	5896
1149 Karmøy	Kvinner	65 år eller eldre	2046	Lav nasjonal vekst (LLML)	5557
1149 Karmøy	Kvinner	65 år eller eldre	2046	Høy nasjonal vekst (HHMH)	6232
1149 Karmøy	Kvinner	65 år eller eldre	2047	Hovedalternativet (MMMM)	5952
1149 Karmøy	Kvinner	65 år eller eldre	2047	Lav nasjonal vekst (LLML)	5600
1149 Karmøy	Kvinner	65 år eller eldre	2047	Høy nasjonal vekst (HHMH)	6311
1149 Karmøy	Kvinner	65 år eller eldre	2048	Hovedalternativet (MMMM)	6008
1149 Karmøy	Kvinner	65 år eller eldre	2048	Lav nasjonal vekst (LLML)	5629
1149 Karmøy	Kvinner	65 år eller eldre	2048	Høy nasjonal vekst (HHMH)	6384
1149 Karmøy	Kvinner	65 år eller eldre	2049	Hovedalternativet (MMMM)	6050
1149 Karmøy	Kvinner	65 år eller eldre	2049	Lav nasjonal vekst (LLML)	5650
1149 Karmøy	Kvinner	65 år eller eldre	2049	Høy nasjonal vekst (HHMH)	6452
1149 Karmøy	Kvinner	65 år eller eldre	2050	Hovedalternativet (MMMM)	6099
1149 Karmøy	Kvinner	65 år eller eldre	2050	Lav nasjonal vekst (LLML)	5679
1149 Karmøy	Kvinner	65 år eller eldre	2050	Høy nasjonal vekst (HHMH)	6524
